url,title,media,height_cm,width_cm,price_gbp
https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward,Unfathomable Deeps by Jane Ward,,70.0,90.0,840
https://www.bearspace.co.uk/product-page/under-a-bruised-and-leaden-sky-by-dominic-badnum,Under A Bruised And Leaden Sky by Dominic Badnum,Oil with charcoal & watercolour on canvas,100.0,100.0,1600
https://www.bearspace.co.uk/product-page/tommy-by-olly-fathers,Tommy by Olly Fathers,"Spraypaint, board, card, digital print collage",100.0,70.0,1940
https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-badnum,This Day Is Ours by Dominic Bradnum,"oil with charcoal, watercolour and pencil on canvas",40.0,50.0,640
https://www.bearspace.co.uk/product-page/to-the-zenith-sheight-by-jane-ward,To The Zenith'sHeight by Jane Ward,,90.0,120.0,1400
https://www.bearspace.co.uk/product-page/to-the-zenith-s-height-by-jane-ward,To The Zenith's Height by Jane Ward,Archival digital print on canvas with dissolved canvas,90.0,120.0,1400
https://www.bearspace.co.uk/product-page/tilt-by-chris-hawton,Tilt by Chris Hawton,Oil and acrylic on canvas,51.0,46.0,800
https://www.bearspace.co.uk/product-page/then-all-was-calm,Then All Was Calm... by Dominic Bradnum,,110.0,150.0,2400
https://www.bearspace.co.uk/product-page/the-wheel-by-chris-hawtin,The Wheel by Chris Hawtin,"Oil, enamel, acrylic and plaster on canvas",198.0,198.0,4000
https://www.bearspace.co.uk/product-page/the-tide-seems-to-whisper-your-name-by-dominic-badnum,The Tide Seems To Whisper Your Name by Dominic Badnum,oil on canvas,80.0,100.0,1600
https://www.bearspace.co.uk/product-page/the-scientist-by-chris-hawtin,The Scientist by Chris Hawtin,Screen print on paper,76.0,56.0,250
https://www.bearspace.co.uk/product-page/the-vandal-by-chris-hawtin,The Vandal by Chris Hawtin,Screenprint on paper,76.0,56.0,250
https://www.bearspace.co.uk/product-page/the-mortal-frame-by-chris-hawtin,The Mortal Frame by Chris Hawtin,Oil & acrylic on canvas,99.0,99.0,1600
https://www.bearspace.co.uk/product-page/the-hurricane-by-lucy-baker,The Hurricane by Lucy Baker,"Oil paint, spray paint & gold leaf on board",110.0,130.0,1600
https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward-1,The High Way (Peak) by Jane Ward,,90.0,70.0,940
https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward,The High Way (Pass) by Jane Ward,,90.0,70.0,940
https://www.bearspace.co.uk/product-page/the-hidden-city-by-chris-hawtin,The Hidden City by Chris Hawtin,Oil and enamel on canvas,87.0,101.0,1600
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-by-jane-ward,The Ephemeral Isles by Jane Ward,Archival digital print on canvas with dissolved canvas,90.0,120.0,1400
https://www.bearspace.co.uk/product-page/those-hidden-ravines-by-jane-ward,Those Hidden Ravines by Jane Ward,Digital print on Aluminium,45.0,60.0,640
https://www.bearspace.co.uk/product-page/the-reaches-by-chris-hawtin,The Reaches by Chris Hawtin,Oil on canvas,50.0,60.0,940
https://www.bearspace.co.uk/product-page/the-dawn-chorus-by-chris-hawtin,The Dawn Chorus by Chris Hawtin,,170.0,160.0,3800
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-5a-by-jane-ward,The Ephemeral Isles 5 by Jane Ward,Digital print on canvas with dissolved ink,45.0,60.0,490
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-1-by-jane-ward,The Ephemeral Isles 1 by Jane Ward,Digital print on Aluminium,90.0,120.0,1800
https://www.bearspace.co.uk/product-page/the-cope-marsh-station,The Cope Marsh Station by Chris Hawtin,Oil on canvas,86.0,86.0,1400
https://www.bearspace.co.uk/product-page/the-chaos-by-chris-hawtin,The Chaos by Chris Hawtin,Oil on canvas,50.0,60.0,940
https://www.bearspace.co.uk/product-page/the-castle-by-chris-hawtin,The Castle by Chris Hawtin,Oil & acrylic on canvas,90.0,70.0,1400
https://www.bearspace.co.uk/product-page/take-our-time-someday-by-chris-hawtin,Take Our Time (Someday) by Chris Hawtin,Oil and acrylic on canvas,40.0,30.0,640
https://www.bearspace.co.uk/product-page/summer-breeze-by-lucinda-metcalfe,Summer Breeze by Lucinda Metcalfe,,57.5,45.0,690
https://www.bearspace.co.uk/product-page/take-my-hand-by-dominic-badnum,Take My Hand by Dominic Badnum,oil on canvas with charcoal and watercolour,40.0,50.0,840
https://www.bearspace.co.uk/product-page/standing-white-black-gold-by-vic-wright,"Standing White , black & gold by Vic Wright","Lichen gilded with 24k gold leaf, moss with ground copper, and white casting cement",12.0,6.0,280
https://www.bearspace.co.uk/product-page/stroke-by-deanna-lewis,"""Stroke"" by Deanna Lewis",Acrylic and oil paint on canvas,40.0,60.0,440
https://www.bearspace.co.uk/product-page/standing-white-and-grey-speckle-by-vic-wright,Standing White and Grey speckle by Vic Wright,White and Grey fine casting cement with white wax,14.0,13.0,325
https://www.bearspace.co.uk/product-page/standing-triple-grey-and-black-by-vic-wright,Standing Triple Grey and Black by Vic Wright,24k gold leaf with casting cement,15.0,14.0,380
https://www.bearspace.co.uk/product-page/standing-triple-black-grey-and-white-by-vic-wright,Standing Triple Black Grey and White by Vic Wright,White and grey casting cement with ink,14.0,11.0,340
https://www.bearspace.co.uk/product-page/standing-grey-double-by-vic-wright,Standing Grey double by Vic Wright,Grey casting cement,12.0,6.5,180
https://www.bearspace.co.uk/product-page/sshhh-by-dominic-bradnum,SSHHH by Dominic Bradnum,oil on canvas,40.0,50.0,640
https://www.bearspace.co.uk/product-page/somewhat-confusing-iii-by-elise-wootten,Somewhat Confusing III by Elise Wootten,"Aluminium, Inkjet Vinyl Print",75.0,88.0,640
https://www.bearspace.co.uk/product-page/somewhat-confusing-i-by-elise-wootten,Somewhat Confusing I by Elise Wootten,"Aluminium, Inkjet Vinyl Print",74.0,88.0,640
https://www.bearspace.co.uk/product-page/sky-walk-by-jane-ward,Sky Walk by Jane ward,,90.0,70.0,940
https://www.bearspace.co.uk/product-page/skywalk-by-jane-ward,Skywalk by Jane Ward,,90.0,70.0,940
https://www.bearspace.co.uk/product-page/shift-by-deanna-lewis,"""Shift"" by Deanna Lewis",Acrylic and oil paint on canvas,40.0,60.0,440
https://www.bearspace.co.uk/product-page/shades-of-coral-ii-by-dionne-cole,Shades of Coral II by Dionne Cole,,30.5,40.7,490
https://www.bearspace.co.uk/product-page/seth-s-narrows-by-chris-hawtin,Seth's Narrows by Chris Hawtin,Oil and acrylic on canvas,59.0,47.0,800
https://www.bearspace.co.uk/product-page/spangled-by-john-greenwood,Spangled by John Greenwood,Oil on Canvas,35.0,30.0,3000
https://www.bearspace.co.uk/product-page/sovereign,Sovereign,Mixed media,22.0,1413.5,640
https://www.bearspace.co.uk/product-page/secret-place-by-natasha-kissell,Secret Place by Natasha Kissell,,70.0,60.0,940
https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-5,"'Retreating, then advancing repeatedly over the centuries'5 by Janie Kidston",,50.0,60.0,540
https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-6-by-janie-kidston,"'Retreating, then advancing repeatedly over the centuries 6' by Janie Kidston",,50.0,60.0,540
https://www.bearspace.co.uk/product-page/somewhat-confusing-ii-by-elise-wootten,Somewhat Confusing II by Elise Wootten,"Aluminium, Inkjet Vinyl Print",75.0,89.0,640
https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-3-by-janie-kidston,"'Retreating, then advancing repeatedly over the centuries 3' by Janie Kidston",,50.0,60.0,540
https://www.bearspace.co.uk/product-page/relic-engines-by-chris-hawtin,Relic Engines by Chris Hawtin,"Oil, enamel and acrylic on canvas",45.0,40.0,690
https://www.bearspace.co.uk/product-page/push-by-deanna-lewis,"""Push"" by Deanna Lewis",Acrylic and oil paint on canvas,40.0,60.0,440
https://www.bearspace.co.uk/product-page/purple-motion-by-dionne-cole,Purple Motion by Dionne Cole,,59.4,84.1,1200
https://www.bearspace.co.uk/product-page/protist-peak-by-chris-hawtin,Protist Peak by Chris Hawtin,Oil and acrylic on canvas,40.0,50.0,690
https://www.bearspace.co.uk/product-page/portal-8-by-jane-ward,Portal 8 by Jane Ward,Digital print under acrylic with subframe,,,490
https://www.bearspace.co.uk/product-page/portal-9-by-jane-ward,Portal 9 by Jane Ward,Digital print under acrylic with subframe,,,490
https://www.bearspace.co.uk/product-page/portal-7-by-jane-ward,Portal 7 by Jane Ward,Digital print under acrylic with subframe,,,490
https://www.bearspace.co.uk/product-page/portal-6-by-jane-ward,Portal 6 by Jane Ward,Digital print under acrylic with subframe,,,320
https://www.bearspace.co.uk/product-page/portal-5-by-jane-ward,Portal 5 by Jane Ward,Digital print under acrylic with subframe,,,320
https://www.bearspace.co.uk/product-page/portal-1-by-jane-ward,Portal 1 by Jane Ward,Digital print under acrylic with subframe,,,320
https://www.bearspace.co.uk/product-page/point-by-deanna-lewis,"""Point"" by Deanna Lewis",Acrylic and oil paint on canvas,35.0,50.0,340
https://www.bearspace.co.uk/product-page/photeus-at-the-pythia-by-chris-hawtin,Photeus at the Pythia by Chris Hawtin,Oil and acrylic on canvas,70.0,70.0,1200
https://www.bearspace.co.uk/product-page/recon-drones-by-chris-hawtin,Recon Drones by Chris Hawtin,Mixed media,22.0,1413.5,640
https://www.bearspace.co.uk/product-page/p8-by-olly-fathers,P8 by Olly Fathers,Acrylic paint on sprayed board,30.0,30.0,240
https://www.bearspace.co.uk/product-page/p10-by-olly-fathers,P10 by Olly Fathers,Acrylic paint on sprayed board,30.0,30.0,240
https://www.bearspace.co.uk/product-page/p4-by-olly-fathers,P4 by Olly Fathers,Acrylic paint on sprayed board,30.0,30.0,240
https://www.bearspace.co.uk/product-page/p1-by-olly-fathers,P1 by Olly Fathers,Acrylic paint on sprayed board,30.0,30.0,240
https://www.bearspace.co.uk/product-page/overland-i-by-jane-ward,Overland I by Jane Ward,,90.0,120.0,1400
https://www.bearspace.co.uk/product-page/overland-4-by-jane-ward,Overland 4 by Jane Ward,Archival digital print on canvas,90.0,120.0,1400
https://www.bearspace.co.uk/product-page/overland-3-by-jane-ward,Overland 3 by Jane Ward,Archival digital print on canvas,90.0,120.0,1400
https://www.bearspace.co.uk/product-page/overland-1-by-jane-ward,Overland 1 by Jane Ward,Archival digital print on canvas,90.0,120.0,1400
https://www.bearspace.co.uk/product-page/overland-2-by-jane-ward,Overland 2 by Jane Ward,Archival digital print on canvas,90.0,120.0,1400
https://www.bearspace.co.uk/product-page/off-road-by-lucy-baker,OFF ROAD by Lucy Baker,"Oil paint, spray paint & gold leaf on board",30.0,40.0,340
https://www.bearspace.co.uk/product-page/of-earth-air-and-water-by-jane-ward,"Of Earth, Air and Water by Jane Ward",,70.0,90.0,840
https://www.bearspace.co.uk/product-page/ore-by-vic-wright,Ore by Vic Wright,"18k goldleaf, grey casting cement and white wax.",8.5,8.0,140
https://www.bearspace.co.uk/product-page/neon-pool,Lucinda Metcalfe - Neon Pool,,,,640
https://www.bearspace.co.uk/product-page/myriorama-room-series-lamp-by-bella-easton,MYRIORAMA ROOM series - LAMP by Bella Easton,Artist: Bella Easton,89.0,117.0,2800
https://www.bearspace.co.uk/product-page/myriorama-room-series-fireplace-ii-by-bella-easton,MYRIORAMA ROOM series – FIREPLACE II by Bella Easton,Artist: Bella Easton,89.0,117.0,2800
https://www.bearspace.co.uk/product-page/myriorama-room-series-armchair-by-bella-easton,MYRIORAMA ROOM series –ARMCHAIR by Bella Easton,Artist: Bella Easton,89.0,117.0,2800
https://www.bearspace.co.uk/product-page/museum-of-now-by-john-greenwood,Museum of now by John Greenwood,Oil on Gessoed canvas on Board,45.0,38.0,9800
https://www.bearspace.co.uk/product-page/moving-from-the-side-of-the-vallery,Moving from the side of the valley by Janie Kidston,,50.0,60.0,540
https://www.bearspace.co.uk/product-page/morning-came-by-dominic-bradnum,Morning Came by Dominic Bradnum,"oil with charcoal, watercolour and pencil on canvas",40.0,50.0,640
https://www.bearspace.co.uk/product-page/meld-4-by-vic-wright,Meld 4 by Vic Wright,"13K gold leaf, copper leaf, white casting cement, iron and pigment",18.0,15.0,440
https://www.bearspace.co.uk/product-page/meld-1-by-vic-wright,Meld 1 by Vic Wright,"24k gold leaf, white casting cement and ground iron",17.0,14.0,440
https://www.bearspace.co.uk/product-page/meld-2-by-vic-wright,Meld 2 by Vic Wright,"24k goldleaf, white and black cement with iron",15.0,12.0,320
https://www.bearspace.co.uk/product-page/march-by-chris-hawtin,March by Chris Hawtin,Oil on Canvas,57.0,62.0,940
https://www.bearspace.co.uk/product-page/kin-by-vic-wright,Kin by Vic Wright,,16.0,14.0,440
https://www.bearspace.co.uk/product-page/loneliness-by-chris-hawtin,Loneliness by Chris Hawtin,"Oil, acrylic and pigment on canvas",40.0,30.0,640
https://www.bearspace.co.uk/product-page/jerome-s-peak-by-chris-hawtin,Jerome's Peak by Chris Hawtin,"Oil,enamel and acrylic on canvas",132.0,143.0,2400
https://www.bearspace.co.uk/product-page/jubellied-joy-song-by-nadja-gabriela-plein,Jubellied (joy song) by Nadja Gabriela Plein,,50.0,41.0,490
https://www.bearspace.co.uk/product-page/meld-5-by-vic-wright,Meld 6 by Vic Wright,"16K goldleaf, white casting cement, pigment and ink",17.0,18.0,440
https://www.bearspace.co.uk/product-page/message-of-undying-love-by-dominic-bradnum,Message Of Undying Love by Dominic Bradnum,"oil, watercolour, charcoal and ink on canvas",110.0,150.0,2400
https://www.bearspace.co.uk/product-page/meld-3-by-vic-wright,Meld 3 by Vic Wright,"13k gold leaf, white casting cement and ink",18.0,12.0,440
https://www.bearspace.co.uk/product-page/in-these-solitudes-by-jane-ward,In These Solitudes by Jane Ward,,70.0,90.0,840
https://www.bearspace.co.uk/product-page/i-crash-into-your-arms,I Crash Into Your Arms by Dominic Bradnum,"Oil with charcoal, watercolour, salt & sand on canvas",70.0,100.0,1400
https://www.bearspace.co.uk/product-page/i-see-beauty-in-everything-by-dominic-badnum,I See Beauty In Everything by Dominic Badnum,oil on canvas with charcoal and watercolour,80.0,100.0,1600
https://www.bearspace.co.uk/product-page/heated-discussion-by-lucinda-metcalfe,Heated Discussion by Lucinda Metcalfe,,43.0,38.0,640
https://www.bearspace.co.uk/product-page/hurricane-by-lucy-baker,Hurricane by Lucy Baker,Oil paint & spray paint on board,30.0,40.0,0
https://www.bearspace.co.uk/product-page/gregor-s-hollow-by-chris-hawtin,Gregor's Hollow by Chris Hawtin,"Oil, enamel, acrylic and resin on canvas",198.0,198.0,4000
https://www.bearspace.co.uk/product-page/guiding-light-by-chris-hawtin,Guiding Light by Chris Hawtin,Oil & acrylic on canvas,40.0,30.0,695
https://www.bearspace.co.uk/product-page/gloaming-by-suzanne-moxhay,Gloaming by Suzanne Moxhay,,60.0,40.0,690
https://www.bearspace.co.uk/product-page/green-sanctuary-by-dionne-cole,Green Sanctuary by Dionne Cole,,58.0,85.5,1200
https://www.bearspace.co.uk/product-page/gcs-high-rise-jane-ward,(GCS) High Rise - Jane Ward,,,,990
https://www.bearspace.co.uk/product-page/garden-city-state-1c-by-jane-ward,Garden City State 1c by Jane Ward,,60.0,45.0,490
https://www.bearspace.co.uk/product-page/garden-city-state-1b-by-jane-ward,Garden City State 1b by Jane Ward,,60.0,45.0,490
https://www.bearspace.co.uk/product-page/garden-city-state-1a-by-jane-ward,Garden City State 1a by Jane Ward,,60.0,45.0,490
https://www.bearspace.co.uk/product-page/from-the-curved-horizon-by-jane-ward,From the Curved Horizon by Jane Ward,,90.0,120.0,1400
https://www.bearspace.co.uk/product-page/from-steep-to-steep-by-jane-ward,From Steep to Steep by Jane Ward,Digital print on Aluminium,45.0,60.0,640
https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward-1,From Frozen Floods by Jane Ward,Digital print on Aluminium,24.0,30.0,340
https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward,From Frozen Floods by Jane Ward,,70.0,90.0,840
https://www.bearspace.co.uk/product-page/fragstudy-5-by-jim-cheatle,Fragstudy 7 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF",30.5,23.0,490
https://www.bearspace.co.uk/product-page/fragstudy-4-by-jim-cheatle,Fragstudy 4 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF",30.5,23.0,490
https://www.bearspace.co.uk/product-page/fragstudy-3-by-jim-cheatle,Fragstudy 3 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF",30.5,23.0,490
https://www.bearspace.co.uk/product-page/fragstudy-2-by-jim-cheatle,Fragstudy 2 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF",30.5,23.0,490
https://www.bearspace.co.uk/product-page/fragstudy-1-by-jim-cheatle,Fragstudy 1 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF",30.5,23.0,490
https://www.bearspace.co.uk/product-page/fragmentation-no-45-by-jim-cheatle,FRAGMENTATION No.45 by Jim Cheatle,"Resin, pigments, inkjet prints, acrylic, paper, MDF",70.0,54.5,1200
https://www.bearspace.co.uk/product-page/fragmentation-no-44-by-jim-cheatle,FRAGMENTATION No.44 by Jim Cheatle,"Resin, pigments, inkjet prints, canvas, MDF",70.0,54.5,1200
https://www.bearspace.co.uk/product-page/fragmentation-no-17-by-jim-cheatle,FRAGMENTATION No.17 by Jim Cheatle,"Resin, pigments, canvas, paper, inkjet prints, MDF",70.0,54.5,1200
https://www.bearspace.co.uk/product-page/fragmentation-no-10-by-jim-cheatle,FRAGMENTATION No.10 by Jim Cheatle,"Resin, pigments, paper, indian ink, inkjet prints, MDF",70.0,54.5,1200
https://www.bearspace.co.uk/product-page/follow-by-deanna-lewis,"""Follow"" by Deanna Lewis",Acrylic and oil paint on canvas,35.0,50.0,340
https://www.bearspace.co.uk/product-page/factory-by-chris-hawtin,Factory by Chris Hawtin,Mixed media,22.0,1413.5,640
https://www.bearspace.co.uk/product-page/feralis-by-suzanne-moxhay,Feralis by Suzanne Moxhay,,68.0,55.0,690
https://www.bearspace.co.uk/product-page/flight-by-dionne-cole,Flight by Dionne Cole,Sculpted hand and laser cut paper,92.0,155.0,2800
https://www.bearspace.co.uk/product-page/facet-by-vic-wright,Facet by Vic Wright,13k gold leaf and grey casting cement.,10.0,6.0,140
https://www.bearspace.co.uk/product-page/fragmentation-no-46-by-jim-cheatle,FRAGMENTATION No.46 by Jim Cheatle,"Resin, pigments, indian ink, watercolour paper, inkjet prints, MDF",70.0,54.5,1200
https://www.bearspace.co.uk/product-page/facet-5-by-vic-wright,Facet 5 by Vic Wright,"Fine white casting cement, ink and 24k gold leaf",8.0,6.5,140
https://www.bearspace.co.uk/product-page/facet-4-by-vic-wright,Facet 4 by Vic Wright,Fine white casting cement and 24k gold leaf,7.5,6.0,140
https://www.bearspace.co.uk/product-page/fragmentation-no-33-by-jim-cheatle,FRAGMENTATION No.33 by Jim Cheatle,"Resin, pigments, canvas, paper, inkjet prints, MDF",70.0,54.5,1200
https://www.bearspace.co.uk/product-page/facet-3-by-vic-wright,Facet 3 by Vic Wright,"Fine white casting cement, ink and 18k gold",7.0,7.0,140
https://www.bearspace.co.uk/product-page/facet-2-by-vic-wright,Facet 2 by Vic Wright,"24k gold leaf, white casting cement and ink",7.0,7.0,140
https://www.bearspace.co.uk/product-page/entry-point-by-joseph-stokes,Entry Point by Joseph Stokes,Graphite on paper,50.0,40.0,720
https://www.bearspace.co.uk/product-page/exchange-by-deanna-lewis,"""Exchange"" by Deanna Lewis",Acrylic and oil paint on canvas,35.0,50.0,340
https://www.bearspace.co.uk/product-page/ennio-fallen-by-chris-hawtin,Ennio Fallen by Chris Hawtin,"Oil, enamel, acrylic and plaster on canvas",198.0,198.0,4000
https://www.bearspace.co.uk/product-page/emplacement-7-by-victoria-ashdown,Emplacement 7 by Victoria Ashdown,,13.0,23.0,240
https://www.bearspace.co.uk/product-page/emplacement-5-by-victoria-ashdown,Emplacement 5 by Victoria Ashdown,,40.0,26.0,240
https://www.bearspace.co.uk/product-page/emplacement-6-by-victoria-ashdown,Emplacement 6 by Victoria Ashdown,,20.0,21.0,240
https://www.bearspace.co.uk/product-page/constructed-veneer-4-by-olly-fathers,Constructed Veneer IV by Olly Fathers,"Various wood veneers, various woods, board",38.0,32.0,1100
https://www.bearspace.co.uk/product-page/collage-3-by-olly-fathers,Collage 3 by Olly Fathers,"Spraypaint, vinyl, card, digital print collage",29.7,21.0,175
https://www.bearspace.co.uk/product-page/collage-2-by-olly-fathers,Collage 2 by Olly Fathers,"Spraypaint, vinyl, card, digital print collage",29.7,21.0,175
https://www.bearspace.co.uk/product-page/collage-1-by-olly-fathers,Collage 1 by Olly Fathers,"Spraypaint, vinyl, card, digital print collage",29.7,21.0,175
https://www.bearspace.co.uk/product-page/chiral-vi-by-bella-easton,Chiral VI by Bella Easton,Watercolour and hand coloured copper plate etching on Velin Arches,40.0,18.0,940
https://www.bearspace.co.uk/product-page/chiral-v-by-bella-easton,Chiral V by Bella Easton,Watercolour and hand coloured copper plate etching on Velin Arches,40.0,18.0,940
https://www.bearspace.co.uk/product-page/chiral-iv-by-bella-easton,Chiral IV by Bella Easton,Watercolour and hand coloured copper plate etching on Velin Arches,40.0,18.0,940
https://www.bearspace.co.uk/product-page/chiral-iii-by-bella-easton,Chiral III by Bella Easton,Watercolour and hand coloured copper plate etching on Velin Arches,40.0,18.0,940
https://www.bearspace.co.uk/product-page/chiral-ii-by-bella-easton,Chiral II by Bella Easton,Watercolour and hand coloured copper plate etching on Velin Arches,40.0,18.0,940
https://www.bearspace.co.uk/product-page/castle-2-by-jane-ward,Castle 2 by Jane Ward,Digital print on Aluminium,45.0,60.0,640
https://www.bearspace.co.uk/product-page/capital-drone-by-chris-hawtin,Capital Drone by Chris Hawtin,Mixed media,22.0,1413.5,640
https://www.bearspace.co.uk/product-page/candy-flop-by-olly-fathers,Candy Flop by Olly Fathers,Sprayed board,127.0,53.0,3400
https://www.bearspace.co.uk/product-page/c6-by-olly-fathers,C6 by Olly Fathers,Acrylic paint on sprayed board,30.0,30.0,240
https://www.bearspace.co.uk/product-page/bridge-over-garden-city-state-by-jane-ward,Bridge Over Garden City State by Jane Ward,Archival digital print on canvas,90.0,120.0,1800
https://www.bearspace.co.uk/product-page/c13-by-olly-fathers,C13 by Olly Fathers,Acrylic paint on sprayed board,30.0,30.0,240
https://www.bearspace.co.uk/product-page/castle-by-jane-ward,Castle by Jane Ward,,90.0,70.0,940
https://www.bearspace.co.uk/product-page/boondocks-by-suzanne-moxhay,Boondocks by Suzanne Moxhay,,92.0,45.0,690
https://www.bearspace.co.uk/product-page/bayou,Bayou,,100.0,44.0,690
https://www.bearspace.co.uk/product-page/balancing-acts-v-by-elise-wootten,Balancing Acts V by Elise Wootten,Inkjet Print (Hahnemuhle Ultra-Smooth),40.7,50.8,340
https://www.bearspace.co.uk/product-page/balancing-acts-ii-by-elise-wootten,Balancing Acts II by Elise Wootten,Inkjet Print (Hahnemuhle Ultra-Smooth),40.7,50.8,400
https://www.bearspace.co.uk/product-page/balancing-acts-i-by-elise-wootten,Balancing Acts I by Elise Wootten,Inkjet Print (Hahnemuhle Ultra-Smooth),40.7,50.8,400
https://www.bearspace.co.uk/product-page/balancing-acts-iii-by-elise-wootten,Balancing Acts III by Elise Wootten,Inkjet Print (Hahnemuhle Ultra-Smooth),40.7,50.8,400
https://www.bearspace.co.uk/product-page/athne-by-suzanne-moxhay,Athne by Suzanne Moxhay,,100.0,50.0,690
https://www.bearspace.co.uk/product-page/as-the-tide-turned-by-dominic-bradnum,As The Tide Turned by Dominic Bradnum,"Oil with charcoal, watercolour and sand on canvas",100.0,80.0,1400
https://www.bearspace.co.uk/product-page/broad-vales-between-by-jane-ward,Broad Vales Between by Jane Ward,,70.0,90.0,840
